n,symbol,side,opened,closed,held_s,reason,entry,exit,target,stop,potential,stake,leverage,margin,notional,move,pnl,fees,equity_after,source
11,BLESSUSDT,LONG,2026-08-16 16:00:31,2026-08-16 16:00:31,0.0,trail,0.006779,0.006811760033805542,0.033945,0.016206,19.75,0.2377,2.78,0.237788,0.66055,0.004833,0.001756,0.001436,10.210003,own
12,HYPEUSDT,LONG,2026-08-16 16:00:30,2026-08-16 16:00:32,2.1,trail,58.476,58.59205691792933,0.013952,0.014233,16.47,0.2064,2.48,0.762942,1.893728,0.001985,0.000634,0.003124,10.210637,own
13,BLESSUSDT,SHORT,2026-08-16 16:00:32,2026-08-16 16:00:32,0.8,trail,0.006797,0.006745023601264139,0.039352,0.015012,23.12,0.2696,3.08,0.270216,0.832392,0.007647,0.004555,0.00181,10.215192,own
14,SKHYNIXUSDT,LONG,2026-08-16 16:00:15,2026-08-16 16:00:33,18.7,trail,1353.78,1367.9335604234907,0.071423,0.016694,68.77,0.7033,7.19,0.620095,4.458024,0.010455,0.039306,0.007302,10.254498,own
15,BLESSUSDT,LONG,2026-08-16 16:00:33,2026-08-16 16:00:34,0.7,trail,0.006749,0.00677941405640442,0.017361,0.015732,9.46,0.1399,1.85,0.211101,0.39092,0.004506,0.000925,0.000836,10.255424,own
16,HYPEUSDT,LONG,2026-08-16 16:00:32,2026-08-16 16:00:35,2.2,target,58.578,59.344941404056364,0.011458,0.011691,13.15,0.1749,2.18,0.261607,0.571195,0.013093,0.006545,0.000934,10.261968,own
17,SNDKUSDT,LONG,2026-08-16 16:00:25,2026-08-16 16:00:35,10.1,trail,1628.3,1651.4425911627322,0.031851,0.015078,24.89,0.2864,3.24,0.025003,0.081008,0.014213,0.001036,0.000116,10.263004,own
18,HYPEUSDT,SHORT,2026-08-16 16:00:35,2026-08-16 16:00:37,1.6,trail,59.353,58.322957251517785,0.094463,0.011609,100.0,1.0,10.0,1.515135,15.15135,0.017355,0.238571,0.024373,10.501575,own
19,BLESSUSDT,SHORT,2026-08-16 16:00:35,2026-08-16 16:00:38,3.1,trail,0.00675,0.006676720453578469,0.033129,0.015271,19.29,0.2332,2.74,0.3793,1.037719,0.010856,0.009079,0.002187,10.510654,own
20,HYPEUSDT,SHORT,2026-08-16 16:00:38,2026-08-16 16:00:38,0.7,trail,58.484,57.901016183176495,0.090339,0.011539,100.0,1.0,10.0,1.767867,17.678669,0.009968,0.149018,0.027208,10.659671,own
21,SOXLUSDT,SHORT,2026-08-16 16:00:30,2026-08-16 16:00:39,8.9,trail,202.36,198.7360850139142,0.104135,0.01739,67.31,0.6894,7.06,2.11541,14.929408,0.017908,0.227666,0.039694,10.887338,own
22,BLESSUSDT,LONG,2026-08-16 16:00:38,2026-08-16 16:00:40,1.5,target,0.00668,0.006877944410991586,0.027683,0.012121,16.0,0.202,2.44,0.078452,0.191424,0.029632,0.005299,0.000373,10.892637,own
23,SOLUSDT,SHORT,2026-08-16 16:00:27,2026-08-16 16:00:41,13.2,trail,65.49,65.07352588368481,0.039518,0.011353,63.96,0.6576,6.76,0.064025,0.432557,0.006359,0.002165,0.000585,10.894802,own
24,BLESSUSDT,SHORT,2026-08-16 16:00:41,2026-08-16 16:00:41,0.7,trail,0.006883,0.006799587054212976,0.053778,0.013204,32.34,0.3572,3.91,0.668858,2.615542,0.012119,0.027073,0.004624,10.921875,own
