datetime	open	high	low	close	volume
2026-08-03 23:31:00	63512.9	63512.9	63492	63495.2	42.094
2026-08-03 23:32:00	63495.2	63508.9	63495.2	63499.6	11.461
2026-08-03 23:33:00	63499.6	63500.1	63499.6	63500	3.527
2026-08-03 23:34:00	63500	63500.1	63495.2	63495.2	3.925
2026-08-03 23:35:00	63495.2	63495.2	63485.8	63485.8	5.901
2026-08-03 23:36:00	63485.8	63508.1	63485.8	63508.1	14.332
2026-08-03 23:37:00	63508.1	63508.1	63439.9	63443.5	70.418
2026-08-03 23:38:00	63443.5	63464.9	63443.5	63459.9	20.716
2026-08-03 23:39:00	63459.9	63462.2	63446.2	63446.2	19.143
2026-08-03 23:40:00	63446.2	63459.2	63438	63456.2	19.952
2026-08-03 23:41:00	63456.2	63456.3	63448.4	63448.4	4.598
2026-08-03 23:42:00	63448.4	63463.4	63448.4	63463.3	10.892
2026-08-03 23:43:00	63463.3	63485.6	63463.3	63481.7	12.959
2026-08-03 23:44:00	63481.7	63484.2	63470	63478.9	4.944
2026-08-03 23:45:00	63478.9	63500	63454.4	63499.9	14.094
2026-08-03 23:46:00	63499.9	63500	63475.1	63486	6.2
2026-08-03 23:47:00	63486	63495.2	63484.6	63484.6	5.927
2026-08-03 23:48:00	63484.6	63484.6	63476.2	63477.9	5.685
2026-08-03 23:49:00	63477.9	63478	63462.4	63464.1	6.571
2026-08-03 23:50:00	63464.1	63481.4	63464.1	63480	4.011
2026-08-03 23:51:00	63480	63480	63451.8	63464.4	11.996
2026-08-03 23:52:00	63464.4	63464.4	63459.5	63459.5	5.49
2026-08-03 23:53:00	63459.5	63484.7	63459.5	63481.8	6.305
2026-08-03 23:54:00	63481.8	63484.6	63468.1	63484.2	16.369
2026-08-03 23:55:00	63484.2	63484.3	63478.1	63478.1	7.45
2026-08-03 23:56:00	63478.1	63499.7	63478.1	63498.5	12.961
2026-08-03 23:57:00	63498.5	63505.3	63494.1	63502.2	14.586
2026-08-03 23:58:00	63502.2	63502.2	63501.2	63501.3	2.45
2026-08-03 23:59:00	63501.3	63504.1	63501.2	63504	3.057
2026-08-04 00:00:00	63504	63519.9	63463.3	63463.3	32.685
2026-08-04 00:01:00	63463.3	63484.8	63451.2	63482.8	42.5
2026-08-04 00:02:00	63482.8	63519.1	63482.8	63519	19.368
2026-08-04 00:03:00	63519	63541.6	63512	63541.6	9.795
2026-08-04 00:04:00	63541.6	63568.2	63541.6	63568.1	20.627
2026-08-04 00:05:00	63568.1	63568.1	63518	63518	14.409
2026-08-04 00:06:00	63518	63518.1	63500	63501.9	8.784
2026-08-04 00:07:00	63501.9	63525.9	63501.9	63524.9	20.271
2026-08-04 00:08:00	63524.9	63525	63506.9	63511.6	5.042
2026-08-04 00:09:00	63511.6	63539.2	63511.6	63521.3	28.791
2026-08-04 00:10:00	63521.3	63549.1	63521.3	63535.4	17.524
2026-08-04 00:11:00	63535.4	63535.5	63493.8	63493.8	9.156
2026-08-04 00:12:00	63493.8	63493.9	63443.4	63443.8	29.749
2026-08-04 00:13:00	63443.8	63461.8	63439.1	63450.9	54.178
2026-08-04 00:14:00	63450.9	63470.8	63444	63444	8.59
2026-08-04 00:15:00	63444	63450	63402.9	63415.9	34.691
2026-08-04 00:16:00	63415.9	63428.8	63393.7	63395.7	11.489
2026-08-04 00:17:00	63395.7	63395.8	63379.8	63386.1	35.407
2026-08-04 00:18:00	63386.1	63400	63359.9	63386.3	58.258
2026-08-04 00:19:00	63386.3	63409	63375.3	63403.6	34.745
2026-08-04 00:20:00	63403.6	63442.1	63403.6	63430.1	9.435
